item_name,serving_size,calories_(kcal),protein_(g),total_fat_(g),carbohydrates_(g),sugar_(g),fiber_(g),sodium_(mg),cholesterol_(mg),pakistani,meal_type
BASMATI RICE,45.0 g,356.0,6.67,1.11,77.8,0.0,0.0,11.0,0.0,True,Lunch
BASMATI RICE,48.0 g,354.0,8.33,0.0,81.2,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,100.0 g,364.0,19.0,6.0,61.0,11.0,17.0,24.0,0.0,True,Lunch
BASMATI RICE,125.0 g,0.0,3.2,1.6,43.2,0.0,2.4,0.0,0.0,True,Lunch
BASMATI RICE,45.0 g,333.0,8.89,0.0,84.4,0.0,2.2,0.0,0.0,True,Lunch
BASMATI RICE,45.0 g,364.0,6.67,0.0,84.4,0.0,0.0,11.0,0.0,True,Lunch
BASMATI RICE,100.0 g,354.0,9.0,0.4,78.6,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,45.0 g,356.0,8.89,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,52.0 g,365.0,7.69,0.0,78.8,0.0,1.9,0.0,0.0,True,Lunch
BASMATI RICE,50.0 g,360.0,8.0,0.0,78.0,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,125.0 g,200.0,3.2,1.6,43.2,0.0,2.4,0.0,0.0,True,Lunch
BASMATI RICE,133.0 GRM,165.0,4.51,2.26,33.1,0.0,0.8,11.0,0.0,True,Lunch
BASMATI RICE,45.0 g,356.0,6.67,0.0,80.0,0.0,2.2,0.0,0.0,True,Lunch
BASMATI RICE,49.0 g,347.0,8.16,0.0,79.6,0.0,2.0,0.0,0.0,True,Lunch
BASMATI RICE,50.0 g,360.0,8.0,0.0,80.0,0.0,2.0,0.0,0.0,True,Lunch
BASMATI RICE,140.0 GRM,136.0,2.86,2.14,26.4,0.0,0.7,29.0,0.0,True,Lunch
BASMATI RICE,45.0 g,333.0,6.67,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,45.0 GRM,356.0,8.89,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,46.0 GRM,348.0,8.7,0.0,78.3,0.0,0.0,54.0,0.0,True,Lunch
BASMATI RICE,45.0 g,367.0,6.67,0.0,88.9,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,48.0 g,375.0,6.25,0.0,79.2,0.0,2.1,0.0,0.0,True,Lunch
BASMATI RICE,45.0 g,356.0,6.67,0.0,77.8,0.0,2.2,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 GRM,356.0,8.89,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",133.0 MG,165.0,4.51,2.26,33.1,0.0,0.8,11.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 g,333.0,6.67,1.11,75.6,0.0,0.0,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 MG,333.0,6.67,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 g,356.0,8.89,0.0,77.8,0.0,2.2,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 g,356.0,6.67,0.0,80.0,0.0,2.2,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",125.0 g,176.0,3.2,1.2,37.6,0.0,1.2,0.0,0.0,True,Lunch
"BASMATI RICE, BASMATI",45.0 GRM,356.0,8.89,0.0,80.0,1.11,0.0,22.0,0.0,True,Lunch
RICE,45.0 g,356.0,6.67,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
RICE,45.0 g,356.0,6.67,0.0,80.0,0.0,2.2,0.0,0.0,True,Lunch
RICE,47.0 g,340.0,6.38,0.0,78.7,0.0,2.1,0.0,0.0,True,Lunch
RICE,45.0 g,333.0,6.67,0.0,75.6,0.0,0.0,0.0,0.0,True,Lunch
RICE,144.0 g,139.0,3.47,2.43,26.4,1.39,1.4,465.0,0.0,True,Lunch
WHEAT FLOUR,15.0 g,467.0,6.67,20.0,66.7,6.67,6.7,800.0,0.0,True,Unknown
WHEAT FLOUR,100.0 g,334.0,10.3,1.1,70.0,0.0,0.0,0.0,0.0,True,Unknown
WHEAT FLOUR,100.0 g,345.0,11.8,1.1,70.7,1.4,2.6,1.0,0.0,True,Unknown
