item_name,serving_size,household_serving,brand_name,ingredients,calories_(kcal),protein_(g),total_fat_(g),carbohydrates_(g),sugar_(g),fiber_(g),sodium_(mg),cholesterol_(mg),pakistani,meal_type
BASMATI RICE,45.0 g,0.25 cup,GREAT VALUE,BASMATI RICE.,356.0,6.67,1.11,77.8,0.0,0.0,11.0,0.0,True,Lunch
BASMATI RICE,48.0 g,0.25 cup,HINODE,MILLED BASMATI RICE.,354.0,8.33,0.0,81.2,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,100.0 g,100 GRM,PEREG,BASMATI RICE.,364.0,19.0,6.0,61.0,11.0,17.0,24.0,0.0,True,Lunch
BASMATI RICE,125.0 g,0.5 package,MARKET BASKET,"COOKED BASMATI RICE, REFINED SUNFLOWER OIL, SPICES (CLOVE, GREEN CARDAMON).",0.0,3.2,1.6,43.2,0.0,2.4,0.0,0.0,True,Lunch
BASMATI RICE,45.0 g,0.25 cup,KROGER,100% BASMATI RICE.,333.0,8.89,0.0,84.4,0.0,2.2,0.0,0.0,True,Lunch
BASMATI RICE,45.0 g,0.25 cup,KHAZANA,BASMATI RICE.,364.0,6.67,0.0,84.4,0.0,0.0,11.0,0.0,True,Lunch
BASMATI RICE,100.0 g,100 GRM,Not specified,OKRA.,354.0,9.0,0.4,78.6,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,45.0 g,1/4 cup,WEGMANS,BASMATI RICE.,356.0,8.89,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,52.0 g,0.25 cup,VILLAGE HARVEST,BASMATI RICE,365.0,7.69,0.0,78.8,0.0,1.9,0.0,0.0,True,Lunch
BASMATI RICE,45.0 g,1/4 cup,ESSENTIAL EVERYDAY,BASMATI RICE.,356.0,8.89,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,45.0 g,0.25 cup g,SCHNUCKS,BASMATI RICE.,356.0,8.89,0.0,77.8,0.0,0.0,0.0,0.0,True,Lunch
BASMATI RICE,50.0 g,0.25 cup,GOOD & GATHER,ORGANIC BASMATI RICE.,360.0,8.0,0.0,78.0,0.0,0.0,0.0,0.0,True,Lunch
